start_lat,start_lon,end_lat,end_lon,start_node,end_node
43.075897,-89.400235,43.073288,-89.396135,2,29
43.075897,-89.400235,43.073724,-89.385494,2,43
43.075897,-89.400235,43.090108,-89.362594,2,65
43.071827,-89.397315,43.099848,-89.335432,3,53
43.071827,-89.397315,43.076728,-89.502157,3,111
43.070977,-89.403744,43.07876,-89.378724,5,52
43.070914,-89.399689,43.0754,-89.447056,6,98
43.074073,-89.392419,43.065159,-89.403999,7,13
43.074073,-89.392419,43.076728,-89.502157,7,111
43.054058,-89.39913,43.038541,-89.401184,10,9
43.073506,-89.409433,43.074933,-89.386107,12,58
43.073506,-89.409433,43.099981,-89.341378,12,68
43.073505,-89.407051,43.085012,-89.369346,16,47
43.073505,-89.407051,43.090551,-89.356518,16,78
43.073505,-89.407051,43.075163,-89.450399,16,94
43.073403,-89.403854,43.084239,-89.428972,18,105
43.073403,-89.403854,43.081137,-89.502575,18,119
43.074849,-89.3914,43.090551,-89.356518,19,78
43.074837,-89.396803,43.074073,-89.392419,20,7
43.074837,-89.396803,43.041663,-89.404071,20,14
43.074837,-89.396803,43.081232,-89.365346,20,69
43.074837,-89.396803,43.074208,-89.47383,20,95
43.074837,-89.396803,43.11295,-89.35855,20,107
43.059929,-89.403805,43.065159,-89.403999,21,13
43.03858,-89.40307,43.071061,-89.407019,22,1
43.03858,-89.40307,43.096919,-89.35142,22,48
43.03858,-89.40307,43.081154,-89.507003,22,121
43.044443,-89.403831,43.098138,-89.326231,23,36
43.044443,-89.403831,43.106774,-89.347619,23,40
43.044443,-89.403831,43.074391,-89.378801,23,54
43.075047,-89.406479,43.07876,-89.378724,24,52
43.075047,-89.406479,43.076388,-89.381564,24,59
43.071687,-89.392872,43.079964,-89.509348,25,116
43.051775,-89.399231,43.075898,-89.376695,28,42
43.073288,-89.396135,43.038506,-89.398039,29,15
43.073288,-89.396135,43.07894,-89.426722,29,97
43.07477,-89.390277,43.098138,-89.326231,31,36
43.074745,-89.388354,43.074989,-89.382342,32,77
43.073372,-89.383802,43.076728,-89.502157,35,111
43.093708,-89.357055,43.081232,-89.365346,37,69
43.093708,-89.357055,43.074097,-89.467913,37,96
43.093708,-89.357055,43.074948,-89.518262,37,112
43.106729,-89.343158,43.074745,-89.388354,39,32
43.106729,-89.343158,43.073724,-89.385494,39,43
43.106729,-89.343158,43.100083,-89.346548,39,75
43.106774,-89.347619,43.095915,-89.354118,40,41
43.095915,-89.354118,43.075047,-89.406479,41,24
43.075898,-89.376695,43.041663,-89.404071,42,14
43.075898,-89.376695,43.064351,-89.51728,42,117
43.073724,-89.385494,43.095276,-89.352591,43,61
43.073724,-89.385494,43.081273,-89.375129,43,63
43.073724,-89.385494,43.089721,-89.437322,43,89
43.077878,-89.370083,43.054058,-89.39913,44,10
43.077878,-89.370083,43.07894,-89.426722,44,97
43.080257,-89.366954,43.070977,-89.403744,46,5
43.085012,-89.369346,43.074073,-89.392419,47,7
43.085012,-89.369346,43.098507,-89.350738,47,55
43.085012,-89.369346,43.106881,-89.345137,47,60
43.085012,-89.369346,43.087276,-89.366583,47,74
43.085012,-89.369346,43.076434,-89.420364,47,99
43.096919,-89.35142,43.087276,-89.366583,48,74
43.085865,-89.360575,43.074878,-89.438444,51,100
43.074391,-89.378801,43.07876,-89.378724,54,52
43.098507,-89.350738,43.074745,-89.388354,55,32
43.091982,-89.359354,43.090108,-89.362594,56,65
43.091982,-89.359354,43.083716,-89.362013,56,70
43.094233,-89.35359,43.106881,-89.345137,57,60
43.094233,-89.35359,43.075451,-89.456624,57,101
43.074933,-89.386107,43.098138,-89.326231,58,36
43.074933,-89.386107,43.074391,-89.378801,58,54
43.074933,-89.386107,43.075183,-89.497947,58,108
43.076388,-89.381564,43.098138,-89.326231,59,36
43.106881,-89.345137,43.098507,-89.350738,60,55
43.106881,-89.345137,43.08238,-89.373012,60,73
43.095276,-89.352591,43.080257,-89.366954,61,46
43.095276,-89.352591,43.075451,-89.456624,61,101
43.095276,-89.352591,43.072384,-89.520026,61,109
43.114269,-89.357265,43.080257,-89.366954,62,46
43.081273,-89.375129,43.075898,-89.376695,63,42
43.081273,-89.375129,43.07876,-89.378724,63,52
43.081273,-89.375129,43.074208,-89.47383,63,95
43.106876,-89.351865,43.038541,-89.401184,64,9
43.106876,-89.351865,43.041663,-89.404071,64,14
43.106876,-89.351865,43.10016,-89.349162,64,38
43.090108,-89.362594,43.074073,-89.392419,65,7
43.07695,-89.373573,43.044443,-89.403831,67,23
43.07695,-89.373573,43.080257,-89.366954,67,46
43.099981,-89.341378,43.080257,-89.366954,68,46
43.099981,-89.341378,43.090519,-89.435668,68,90
43.081232,-89.365346,43.07481,-89.393712,69,27
43.081232,-89.365346,43.098507,-89.350738,69,55
43.081232,-89.365346,43.094233,-89.35359,69,57
43.081232,-89.365346,43.089334,-89.433693,69,80
43.083716,-89.362013,43.073353,-89.401358,70,8
43.083716,-89.362013,43.076457,-89.423976,70,79
43.083716,-89.362013,43.086348,-89.433704,70,85
43.083716,-89.362013,43.086325,-89.438598,70,91
43.078962,-89.368721,43.075181,-89.410405,71,17
43.078962,-89.368721,43.099848,-89.335432,71,53
43.08238,-89.373012,43.074391,-89.378801,73,54
43.08238,-89.373012,43.08245,-89.363518,73,72
43.087276,-89.366583,43.054058,-89.39913,74,10
43.104027,-89.343202,43.075181,-89.410405,76,17
43.104027,-89.343202,43.098615,-89.329604,76,49
43.104027,-89.343202,43.085865,-89.360575,76,51
43.090551,-89.356518,43.075451,-89.456624,78,101
43.089334,-89.433693,43.10016,-89.349162,80,38
43.089334,-89.433693,43.086637,-89.441761,80,88
43.089334,-89.433693,43.07894,-89.426722,80,97
43.086257,-89.434878,43.071687,-89.392872,81,25
43.086257,-89.434878,43.076046,-89.384707,81,34
43.078849,-89.429817,43.051775,-89.399231,82,28
43.086191,-89.436434,43.062942,-89.404119,83,11
