start_lat,start_lon,end_lat,end_lon,start_node,end_node
43.075914,-89.403619,43.075047,-89.406479,6,31
43.071061,-89.407019,43.075897,-89.400235,1,2
43.07481,-89.393712,43.074837,-89.396803,34,22
43.075181,-89.410405,43.073506,-89.409433,19,14
43.086325,-89.438598,43.086191,-89.436434,104,96
43.089087,-89.438266,43.084275,-89.433568,99,100
43.076046,-89.384707,43.074989,-89.382342,43,90
43.076409,-89.413023,43.075181,-89.410405,106,19
43.086191,-89.436434,43.080289,-89.428136,96,97
43.07025,-89.390357,43.07481,-89.393712,33,34
43.07703,-89.428301,43.076409,-89.413023,105,106
43.071827,-89.397315,43.073288,-89.396135,3,36
43.075047,-89.406479,43.071687,-89.392872,31,32
43.074837,-89.396803,43.075631,-89.397316,22,4
43.071578,-89.388519,43.076046,-89.384707,42,43
43.084275,-89.433568,43.086637,-89.441761,100,101
43.073506,-89.409433,43.07408,-89.406253,14,37
43.07607,-89.405625,43.075914,-89.403619,5,6
43.07894,-89.426722,43.07703,-89.428301,111,105
43.074989,-89.382342,43.074391,-89.378801,90,63
43.090519,-89.435668,43.086325,-89.438598,103,104
43.086257,-89.434878,43.086348,-89.433704,94,98
43.086348,-89.433704,43.089087,-89.438266,98,99
43.071687,-89.392872,43.07025,-89.390357,32,33
43.07408,-89.406253,43.073505,-89.407051,37,18
43.086637,-89.441761,43.089721,-89.437322,101,102
43.073505,-89.407051,43.071061,-89.407019,18,1
43.073913,-89.397473,43.071578,-89.388519,41,42
43.080289,-89.428136,43.078849,-89.429817,97,95
43.075631,-89.397316,43.07607,-89.405625,4,5
43.075897,-89.400235,43.071827,-89.397315,2,3
43.089721,-89.437322,43.090519,-89.435668,102,103
43.078849,-89.429817,43.07894,-89.426722,95,111
43.073288,-89.396135,43.073913,-89.397473,36,41
