OBJECTID,PointsToLine_shape_id,PointsToLine_shape_id2,trips_routes_route_id,trips_routes_route_short_name,trips_routes_trip_headsign,trips_routes_direction_id,trips_routes_direction_name,trips_routes_shape_id,trips_routes_shape_code,trips_routes_wheelchair_accessi,trips_routes_routes_agency_id,trips_routes_routes_route_long_,trips_routes_routes_route_servi,trips_routes_routes_route_type,trips_routes_routes_route_url,trips_routes_routes_route_color,trips_routes_routes_route_text_,start_date,end_date,PK_MD_WE,ShapeSTLength
3437,60006,60006,9943,55,EPIC CAMPUS: VIA MIDTOWN,0,Verona,60006,55o,1,MMT,,VERONA:WEST TP,3,http://www.cityofmadison.com/metro/routes-schedules/route-55,5187A9,000000,20211205,20220305,100,47720.4260865184
3438,60007,60007,9943,55,WEST TRANSFER: VIA MIDTOWN,1,West Transfer,60007,55i,1,MMT,,VERONA:WEST TP,3,http://www.cityofmadison.com/metro/routes-schedules/route-55,5187A9,000000,20211205,20220305,100,47706.3008354053
3439,60026,60026,9947,59,TO ORCHARD POINT,0,Fitchburg,60026,59oT,1,MMT,,FITCHBURG:WEST TP,3,http://www.cityofmadison.com/metro/routes-schedules/route-59,FFCC00,000000,20211205,20220305,001,21402.2826734224
3440,60027,60027,9947,59,FITCHBURG: VIA ORCHARD POINT,0,Fitchburg,60027,59o,1,MMT,,FITCHBURG:WEST TP,3,http://www.cityofmadison.com/metro/routes-schedules/route-59,FFCC00,000000,20211205,20220305,001,42150.5749197201
3441,60028,60028,9947,59,WEST TRANSFER,1,West Transfer,60028,g59i,1,MMT,,FITCHBURG:WEST TP,3,http://www.cityofmadison.com/metro/routes-schedules/route-59,FFCC00,000000,20211205,20220305,001,15663.1073526603
3442,60029,60029,9947,59,WEST TRANSFER: VIA ORCHARD POINT,1,West Transfer,60029,59i,1,MMT,,FITCHBURG:WEST TP,3,http://www.cityofmadison.com/metro/routes-schedules/route-59,FFCC00,000000,20211205,20220305,001,41398.8051506727
3443,60030,60030,9948,63,PRAIRIE TOWNE: VIA W TOWNE,0,Prairie Towne,60030,63o,1,MMT,,PR TOWN:WEST TP,3,http://www.cityofmadison.com/metro/routes-schedules/route-63,EB9E18,000000,20211205,20220305,001,25217.4229878177
3444,60031,60031,9948,63,WEST TRANSFER: VIA W TOWNE,1,West Transfer,60031,63i,1,MMT,,PR TOWN:WEST TP,3,http://www.cityofmadison.com/metro/routes-schedules/route-63,EB9E18,000000,20211205,20220305,001,25582.1240463751
3445,60032,60032,9949,67,WEST TRANSFER,0,W Towne Loop,60032,67po,1,MMT,,W TOWNE:WEST TP,3,http://www.cityofmadison.com/metro/routes-schedules/route-67,9B76B8,000000,20211205,20220305,000,14022.6927296095
3446,60034,60034,9949,67,WEST TRANSFER: VIA W TOWNE,0,W Towne Loop,60034,67,1,MMT,,W TOWNE:WEST TP,3,http://www.cityofmadison.com/metro/routes-schedules/route-67,9B76B8,000000,20211205,20220305,111,34073.6194342043
3447,60035,60035,9950,68,PRAIRIE TOWNE: VIA OLD SAUK,0,Prairie Towne,60035,68o,1,MMT,,PR TOWN:WEST TP,3,http://www.cityofmadison.com/metro/routes-schedules/route-68,52BEE6,000000,20211205,20220305,001,36878.468108341
3448,60036,60036,9950,68,WEST TRANSFER: VIA OLD SAUK,1,West Transfer,60036,68i,1,MMT,,PR TOWN:WEST TP,3,http://www.cityofmadison.com/metro/routes-schedules/route-68,52BEE6,000000,20211205,20220305,001,36906.3513691866
3449,60038,60038,9951,70,MIDDLETON: VIA TERRACE,0,Middleton,60038,70P,1,MMT,,MIDDLTON:CAP SQR,3,http://www.cityofmadison.com/metro/routes-schedules/route-70,A7B5DC,000000,20211205,20220305,110,78944.8038697229
3450,60039,60039,9951,70,MIDDLETON: VIA DISCOVERY,0,Middleton,60039,70A,1,MMT,,MIDDLTON:CAP SQR,3,http://www.cityofmadison.com/metro/routes-schedules/route-70,A7B5DC,000000,20211205,20220305,110,73857.8766025892
